player,loc,unit_id,unit_type,action,unit_name,prev_loc,passing_through
chris,B1,8,tyranid_warriors,control,Nora Harvey,B1,FALSE
chris,B1,1,flying_hive_tryant,move,"The Chef, Man",B4,TRUE
chris,B1,21,gargoyles,move,Unlucky Wizard,B1,TRUE
chris,B2,6,tyranid_warriors,move,Izabella Wade,A2,FALSE
chris,B3,7,tyranid_warriors,control,Piper Molina,B3,FALSE
chris,B4,12,hormagaunts,control,Maya Guerra,B4,FALSE
chris,B5,5,neurothrope,defend,Violent Commander,B5,FALSE
chris,B6,11,termagants,control,Kinsley Ellis,B6,FALSE
chris,B6,18,venomthropes,move,Tyler Huang,B2,FALSE
chris,B7,15,ripper_swarms,move,Peter Dickinson,B8,FALSE
big_grizz,C1,9,infiltrators,sneak,Nolan Barrett,C2,FALSE
chris,D2,1,flying_hive_tryant,move,"The Chef, Man",B1,FALSE
chris,D2,21,gargoyles,move,Unlucky Wizard,B1,FALSE
chris,D2,23,biovores,move,Chase Smith,B1,FALSE
big_grizz,D3,7,tactical_squad,control,William Lee,D3,FALSE
chris,E2,13,ripper_swarms,control,Nick Bostrom,A5,FALSE
chris,E2,4,broodlord,move,Narada Michael Walden,B6,FALSE
chris,E2,9,genestealers,move,Jaxson Hunter,B11,FALSE
chris,E2,22,exocrine,move,Brandon Williamson,B6,FALSE
chris,E2,24,biovores,move,Luna Wells,E3,FALSE
chris,E3,14,ripper_swarms,control,Natalia Graham,E3,FALSE
chris,E3,3,broodlord,move,Rob Cavallo,E4,FALSE
chris,E3,10,genestealers,move,Eli Washington,E4,FALSE
eric,E5,20,canoptek_scarab_swarms,defend,Ghostface Warrior,E5,FALSE
big_grizz,F1,1,ravenwing_talonmaster,defend,Mighty Contender,F1,FALSE
big_grizz,F1,4,phobos_librarian,defend,"Marina A. Ledin, Victor Ledin",F1,FALSE
big_grizz,F1,8,tactical_squad,defend,Steven Francis,F1,FALSE
big_grizz,F1,10,ravenwing_bike_squad,defend,Frank Welker,F1,FALSE
big_grizz,F1,11,ravenwing_attack_bike,defend,Jon Favreau,F1,FALSE
big_grizz,F1,12,ravenwing_attack_bike,defend,Robert Downey,F1,FALSE
big_grizz,F1,15,invictor_tactical_warsuit,defend,Larry Butler,F1,FALSE
big_grizz,F1,16,ravenwing_apothecary,defend,Don Cheadle,F1,FALSE
big_grizz,F1,19,vindicare_assassin,defend,Adam Abeshouse,F1,FALSE
big_grizz,F1,20,eliminators,defend,T Bone Burnett,F1,FALSE
big_grizz,F1,21,eradicators,defend,Nova Morgan,F1,FALSE
big_grizz,F1,23,rhino,defend,Bob Bergen,F1,FALSE
big_grizz,F1,26,trap,sneak,U Walter Afanasieff,NA,FALSE
chris,F1,2,flying_hive_tryant,move,Andy Serkis,E2,FALSE
chris,F1,16,hive_guard,move,Delilah Daniels,B5,FALSE
chris,F1,17,maleceptor,move,Colton Hart,E2,FALSE
chris,F1,19,raveners,move,Drew Conway,E2,FALSE
chris,F1,20,gargoyles,move,Frank Sinatra,E2,FALSE
chris,F1,25,tyrannocyte,move,Richard Bach,B5,FALSE
eric,F1,1,trazyn_the_infinite,move,Valerie Pacheco,F2,FALSE
eric,F1,2,illuminor_szeras,move,Silas Fowler,F2,FALSE
eric,F1,3,technomancer,move,Mario Bunge,F2,FALSE
eric,F1,4,lychgaurd,move,Jayce Scott,F2,FALSE
eric,F1,5,skorpekh_destroyers,move,Paisley Dunn,F2,FALSE
eric,F1,6,canoptek_plasmacyte,move,Crazy Wanderer,F2,FALSE
eric,F1,8,canoptek_spyders,move,Thunderous Killah,F2,FALSE
eric,F1,9,canoptek_spyders,move,X-pert Desperado,F2,FALSE
eric,F1,10,cryptothralls,move,Parker Ruiz,F2,FALSE
eric,F1,11,cryptothralls,move,Eden Wolf,F2,FALSE
eric,F1,12,canoptek_scarab_swarms,move,The Magician,F2,FALSE
